594261(5,326096,261219) > 594298(5,333237,288400) {"M":0.009900990099009901, "dM":0.009900990099009901}
258512(3) > 267380(3) {"M":1.0, "dM":0.01}
256460(3) > 324427(3) {"M":1.0, "dM":0.01}
252959(3) > 257734(3) {"M":1.0, "dM":0.01}
594215(5,252959,253430) > 594265(5,257734,263137) {"M":0.010002000200020003, "dM":0.010002000200020003}
326096(3) > 333237(3) {"M":1.0, "dM":0.0100990099009901}
594217(5,257804,258512) > 594270(5,327464,267380) {"M":1.0, "dM":0.02}
594256(5,256460,257804) > 594266(5,324427,327464) {"M":1.0, "dM":0.02}
594220(5,258545,326096) > 594292(5,267363,333237) {"M":1.0, "dM":0.02}
594216(5,252959,253497) > 594264(5,257734,263213) {"M":1.0, "dM":0.02}
258545(3) > 267363(3) {"M":1.0, "dM":0.02}
253497(3) > 263213(3) {"M":1.0, "dM":0.02}
594257(5,253497,257804) > 594221(5,263213,327464) {"M":1.0, "dM":0.02}
594218(5,257804,258545) > 594271(5,327464,267363) {"M":1.0, "dM":0.02}
257804(3) > 327464(3) {"M":1.0, "dM":0.04}
